house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
141,简装,天通苑,天通苑东二区 ,3室1厅,南 北,418,29529
164,简装,惠新西街,罗马花园 ,3室1厅,西,850,51776
93,精装,长阳,徜徉嘉园5号院 ,3室1厅,南 北,430,46182
106,精装,回龙观,龙跃苑三区 ,2室1厅,南 北,428,40173
66,简装,黄村火车站,车站中里 ,2室1厅,南 北,267,39989
90,精装,梨园,新通国际花园 ,2室1厅,南 北,420,46312
95,精装,梨园,新通国际花园 ,2室2厅,南 北,472,49560
57,简装,滨河西区,月季园东里 ,2室1厅,南 北,228,39481
65,毛坯,农展馆,农展南里 ,2室1厅,南 北,455,69764
106,毛坯,黄村北,金惠园三里 ,3室1厅,南 北,550,51494
93,精装,亚运村,保利金泉 ,2室1厅,西南,730,77967
65,简装,芍药居,芍药居北里 ,2室1厅,南,490,75039
99,精装,双井,CBD总部公寓二期 ,2室2厅,南 北,860,86843
156,简装,马甸,新明嘉园 ,4室2厅,东南 西,1450,92428
463,精装,工体,光彩国际公寓 ,6室2厅,东 南 北,3942.2,85000
54,精装,六铺炕,黄寺大街24号院 ,2室1厅,东 西,710,129799
57,简装,卢沟桥,卢沟桥南里 ,2室1厅,南,258,45137
93,简装,高碑店,兴隆家园 ,2室2厅,南 北,518,55283
131,其他,大望路,风度柏林 ,3室1厅,南 北,1090,82884
109,精装,双井,天之骄子 ,2室1厅,南,873,79931
80,精装,朝青,国美第一城2号院 ,2室1厅,西北,505,62905
92,其他,菜户营,乐城 ,2室1厅,西,675,72989
59,简装,望京,望花路西里 ,2室1厅,南,375,63292
71,简装,北大地,福顺里 ,2室1厅,南 西,400,56125
89,简装,良乡,瑞雪春堂 ,2室1厅,南 北,295,32811
